Organization,Bias,Established
100PercentFedUp,1,
ABC News,-0.25,TRUE
Addicting Info,-1,
Al Jazeera America,-0.9,TRUE
Allen West Republic,0.9,TRUE
American News,1,
Andy Borowitz,-1,
Being Liberal,-1,
Bill O'Reilly,0.9,TRUE
Bipartisan Report,-1,
BizPac Review,1,
Bloomberg,-0.25,TRUE
Bloomberg Politics,-0.25,TRUE
Breitbart,1,TRUE
Business Insider,-0.25,TRUE
Buzzfeed,-0.25,TRUE
Buzzfeed Politics,-0.25,TRUE
CBS News,-0.25,TRUE
Clickhole,-0.6,
CNN,-0.9,TRUE
CNN Politics,-0.9,TRUE
Collective Evolution,-0.6,
Conservative News Today,0.9,TRUE
Conservative Tribune,0.9,TRUE
Daily Buzz Live,-0.6,
Daily Show,-0.9,TRUE
DailyCaller,0.9,TRUE
DailyCaller Politics,0.9,TRUE
DC Gazette,-0.6,
Disclove.tv,-0.6,
Drudge Report,0.9,TRUE
Fox News,0.9,TRUE
Full Frontal with Samantha Bee,-0.9,TRUE
Glenn Beck Program,0.9,TRUE
HuffPost,-0.9,TRUE
HuffPost Politics,-0.9,TRUE
If You Only News,-1,
IJR Life,1,
IJR Politics,1,
Info Wars,1,TRUE
Inside Amy Schumer,-0.9,TRUE
LA Times,-0.9,TRUE
Last Week Tonight with John Oliver,-0.9,TRUE
Late Night with Seth Meyers,-0.9,TRUE
Late Show with Stephen Colbert,-0.9,TRUE
Liberal America,-1,
LifeSiteNews,0.9,TRUE
Mic Media,-0.9,TRUE
MSNBC,-0.9,TRUE
National Report,-1,
Natural News,0.6,
NBC News,-0.9,TRUE
New Century Times,-1,
New York Times,-0.9,TRUE
New Yorker,-0.9,TRUE
Newslo,-0.6,
NewsMax,0.9,TRUE
Newsweek,-0.9,TRUE
Now The End Begins,1,
NowThis Election,-0.9,TRUE
NPR,-0.9,TRUE
Occupy Democrats,-1,
Pamela Geller,0.9,TRUE
PBS,-0.9,TRUE
Politico,-0.9,TRUE
Project Veritas,1,
RedFlag News,1,
RedState,1,
Rush Limbaugh Show,0.9,TRUE
Sean Hannity Show,0.9,TRUE
Slate,-0.9,TRUE
The Atlantic,-0.25,TRUE
The Blaze,1,TRUE
The Daily Current,-1,
The Economist,-0.9,TRUE
The Free Thought Project,1,
The Guardian,-0.9,TRUE
The Onion,-1,
The Other 98,-1,
The Shovel,-1,
The Washington Times,0.9,TRUE
Time,-0.9,TRUE
Twitchy,1,
US Uncut,-1,
USA Newsflash,1,
USA Today,-0.25,TRUE
Vice,-0.9,TRUE
Vox,-0.9,TRUE
Wall Street Journal,0.25,TRUE
Washington Post,-0.9,TRUE
Wasington Post Politics,-0.9,TRUE
Western Journalism,0.9,TRUE
Winning Democrats,-1,
Wired,-0.25,TRUE
WorldTruth.tv,0.6,
Yahoo News,0.25,TRUE
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
