,100percentfedup.com,Unnamed: 1,bias,Unnamed: 3,Unnamed: 4
0,21stcenturywire.com,,conspiracy,,
1,24newsflash.com,,fake,,
2,365usanews.com,,bias,conspiracy,
3,4threvolutionarywar.wordpress.com,,bias,conspiracy,
4,70news.wordpress.com,,fake,,
5,82.221.129.208,,conspiracy,fake,
6,aanirfan.blogspot.co.uk,,unreliable,,
7,abcnews.com.co,,fake,,
8,abcnewsgo.co,,fake,,
9,abeldanger.net,,conspiracy,,
10,abovetopsecret.com,,conspiracy,rumor,
11,abriluno.com,,satire,fake,
12,aceflashman.wordpress.com,,satire,,
13,Acting-Man.com,,unreliable,conspiracy,
14,activistpost.com,,conspiracy,,
15,addictinginfo.org,,clickbait,unreliable,
16,adobochronicles.com,,fake,,
17,advocate.com,,political,credible,
18,aheadoftheherd.com,,unknown,,
19,ahtribune.com,,unreliable,bias,
20,allnewspipeline.com,,unreliable,conspiracy,
21,Alt-Market.com,,unknown,,
22,alternet.org,,political,credible,
23,americanblog.com,,unknown,,
24,americanfreepress.net,,conspiracy,bias,
25,AmericanKabuki.blogspot.com,,junksci,,
26,americanlookout.com,,bias,clickbait,
27,americannews.com,,fake,,
28,americanoverlook.com,,fake,,
29,americanpatriotdaily.com,,bias,clickbait,bias
30,americanprogress.org,,unknown,,
31,americanreviewer.com,,conspiracy,,
32,americantoday.news,,rumor,bias,
33,americasfreedomfighters.com,,bias,clickbait,
34,AmmoLand.com,,bias,,
35,amplifyingglass.com,,clickbait,satire,
36,amren.com,,hate,conspiracy,
37,amtvmedia.com,,rumor,unreliable,
38,amusmentic.com,,clickbait,rumor,
39,ancient-code.com,,junksci,unreliable,
40,angrypatriotmovement.com,,conspiracy,,
41,anonews.co,,unreliable,,
42,anonhq.com,,unreliable,,
43,anonnews.co,,unreliable,,
44,anotherdayintheempire.com,,bias,conspiracy,
45,antiwar.com,,bias,unreliable,
46,antoniusaquinas.wp.com,,bias,conspiracy,
47,ArmstrongEconomics.com,,unknown,,
48,asia-pacificresearch.com,,unreliable,satire,
49,assassinationscience.com,,conspiracy,junksci,
50,associatedmediacoverage.com,,satire,,
51,attn.com,,political,clickbait,
52,AutomaticEarth.com,,unreliable,,
53,automotostar.com,,clickbait,,
54,awarenessact.com,,conspiracy,junksci,
55,awazetribune.com,,unknown,,
56,awdnews.com,,conspiracy,,
57,awm.com,,unreliable,bias,clickbait
58,BadSquad.com,,unknown,,
59,baptistnews.com,,unknown,,
60,barenakedislam.com,,hate,,
61,Barnhardt.biz,,unknown,,
62,BB4SP.com,,conspiracy,bias,bias
63,beehivebugle.com,,satire,,
64,beforeitsnews.com,,fake,conspiracy,rumor
65,betootaadvocate.com,,satire,,
66,bients.com,,clickbait,,
67,bigamericannews.com,,satire,fake,
68,bigbluedimension.com,,rumor,bias,
69,bigbluevision.com,,hate,,
70,bigbluevision.org,,clickbait,bias,
71,bighairynews.com,,fake,conspiracy,
72,bignuggetnews.com,,bias,rumor,
73,bigpzone.com,,,,
74,bipartisanreport.com,,clickbait,bias,
75,blackagendareport.com,,unreliable,,
76,blackgenocide.org,,unknown,,
77,blacklistednews.com,,clickbait,unreliable,
78,blog.uncommonwisdomdaily.com,,unknown,,
79,bluenationreview.com,,clickbait,unreliable,
80,Boilingfrogspost.com,,unreliable,,
81,borowitzreport.com,,satire,,
82,bostonleader.com,,fake,,
83,breaking911.com,,clickbait,unreliable,
84,breakpoint.org,,unknown,,
85,breitbart.com,,political,unreliable,bias
86,BrotherJohnF.com,,bias,conspiracy,
87,BullionBullsCanada.com,,conspiracy,,
88,burrardstreetjournal.com,,satire,,
89,buzzfeedusa.com,,fake,rumor,
90,bvanews.com,,unreliable,bias,fake
91,callthecops.net,,satire,,
92,canadafreepress.com,,conspiracy,bias,
93,cap-news.com,,fake,,
94,CaseyResearch.com,,unknown,,
